Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.513,0.11311311311311312,0.5621890547263682,0.18833333333333332,0.5467520651329234,0.13321037088669524,913,886,88,113
Random Forest,0.8045,0.10743801652892562,0.12935323383084577,0.11738148984198646,0.4694841523344921,0.10465019758891134,1583,216,175,26
XGBoost,0.868,0.12941176470588237,0.05472636815920398,0.07692307692307693,0.5026286024021085,0.107684200395331,1725,74,190,11
