Feature Set,Number of Features,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True Negatives,False Positives,False Negatives,True Positives
Current Improved Features,31,0.513,0.11311311311311312,0.5621890547263682,0.18833333333333332,0.5467520651329234,0.13321037088669524,913,886,88,113
Cleaned Features,29,0.513,0.11311311311311312,0.5621890547263682,0.18833333333333332,0.5466137904142434,0.13413696803402675,913,886,88,113
Without Interaction Features,25,0.505,0.11056268509378085,0.5572139303482587,0.18451400329489293,0.5440446461411674,0.12725257597192793,898,901,89,112
Strong Signal Features,16,0.486,0.10731244064577398,0.5621890547263682,0.18022328548644337,0.5290197152093894,0.12607833384829262,859,940,88,113
